product_id,title,description,price,image_url,category,brand,sku,rating,review_count,product_description,main_category,sub_category
HD001,DEWALT 20V MAX Cordless Drill,"High-performance cordless drill with 20V MAX battery, brushless motor, and 15 clutch settings. Perfect for drilling through wood, metal, and plastic. Includes belt clip and LED light.",149.99,https://images.homedepot-static.com/productImages/drill-dewalt-001.jpg,Tools & Hardware > Power Tools > Drills,DEWALT,DCD771C2,4.5,1247,"DEWALT 20V MAX Cordless Drill - High-performance cordless drill with 20V MAX battery, brushless motor, and 15 clutch settings. Perfect for drilling through wood, metal, and plastic. Includes belt clip and LED light.",Tools & Hardware,Power Tools
HD001_V1,DEWALT Black 20V MAX Cordless Drill,"Black finish. High-performance cordless drill with 20V MAX battery, brushless motor, and 15 clutch settings. Perfect for drilling through wood, metal, and plastic. Includes belt clip and LED light.",159.99,https://images.homedepot-static.com/productImages/drill-dewalt-001.jpg,Tools & Hardware > Power Tools > Drills,DEWALT,DCD771C2-BLACK,4.5,1247,"DEWALT Black 20V MAX Cordless Drill - Black finish. High-performance cordless drill with 20V MAX battery, brushless motor, and 15 clutch settings. Perfect for drilling through wood, metal, and plastic. Includes belt clip and LED light.",Tools & Hardware,Power Tools
HD001_V2,DEWALT Yellow 20V MAX Cordless Drill,"Yellow finish. High-performance cordless drill with 20V MAX battery, brushless motor, and 15 clutch settings. Perfect for drilling through wood, metal, and plastic. Includes belt clip and LED light.",169.99,https://images.homedepot-static.com/productImages/drill-dewalt-001.jpg,Tools & Hardware > Power Tools > Drills,DEWALT,DCD771C2-YELLOW,4.5,1247,"DEWALT Yellow 20V MAX Cordless Drill - Yellow finish. High-performance cordless drill with 20V MAX battery, brushless motor, and 15 clutch settings. Perfect for drilling through wood, metal, and plastic. Includes belt clip and LED light.",Tools & Hardware,Power Tools
HD002,Whirlpool 24.5 cu. ft. Side-by-Side Refrigerator,"Energy-efficient side-by-side refrigerator with LED lighting, adjustable shelves, and external ice and water dispenser. ENERGY STAR certified with humidity-controlled crisper drawers.",1299.99,https://images.homedepot-static.com/productImages/refrigerator-whirlpool-002.jpg,Appliances > Refrigerators > Side-by-Side,Whirlpool,WRS325SDHZ,4.2,892,"Whirlpool 24.5 cu. ft. Side-by-Side Refrigerator - Energy-efficient side-by-side refrigerator with LED lighting, adjustable shelves, and external ice and water dispenser. ENERGY STAR certified with humidity-controlled crisper drawers.",Appliances,Refrigerators
HD002_V1,Whirlpool 22.5 cu. ft. Side-by-Side Refrigerator,"Energy-efficient side-by-side refrigerator with LED lighting, adjustable shelves, and external ice and water dispenser. ENERGY STAR certified with humidity-controlled crisper drawers.",1399.99,https://images.homedepot-static.com/productImages/refrigerator-whirlpool-002.jpg,Appliances > Refrigerators > Side-by-Side,Whirlpool,WRS325SDHZ-225,4.2,892,"Whirlpool 22.5 cu. ft. Side-by-Side Refrigerator - Energy-efficient side-by-side refrigerator with LED lighting, adjustable shelves, and external ice and water dispenser. ENERGY STAR certified with humidity-controlled crisper drawers.",Appliances,Refrigerators
HD002_V2,Whirlpool 26.5 cu. ft. Side-by-Side Refrigerator,"Energy-efficient side-by-side refrigerator with LED lighting, adjustable shelves, and external ice and water dispenser. ENERGY STAR certified with humidity-controlled crisper drawers.",1499.99,https://images.homedepot-static.com/productImages/refrigerator-whirlpool-002.jpg,Appliances > Refrigerators > Side-by-Side,Whirlpool,WRS325SDHZ-265,4.2,892,"Whirlpool 26.5 cu. ft. Side-by-Side Refrigerator - Energy-efficient side-by-side refrigerator with LED lighting, adjustable shelves, and external ice and water dispenser. ENERGY STAR certified with humidity-controlled crisper drawers.",Appliances,Refrigerators
HD003,Milwaukee M18 FUEL Circular Saw,"Brushless cordless circular saw with 7-1/4 inch blade, capable of cutting 2x dimensional lumber at 90° and 45°. Features electronic brake and rafter hook for convenience.",199.99,https://images.homedepot-static.com/productImages/saw-milwaukee-003.jpg,Tools & Hardware > Power Tools > Saws,Milwaukee,2730-20,4.7,2156,"Milwaukee M18 FUEL Circular Saw - Brushless cordless circular saw with 7-1/4 inch blade, capable of cutting 2x dimensional lumber at 90° and 45°. Features electronic brake and rafter hook for convenience.",Tools & Hardware,Power Tools
HD004,Hampton Bay Ceiling Fan with Light,"52-inch ceiling fan with integrated LED light kit, reversible motor for year-round comfort, and five reversible blades. Includes remote control and easy installation hardware.",89.99,https://images.homedepot-static.com/productImages/fan-hamptonbay-004.jpg,Lighting & Electrical > Ceiling Fans,Hampton Bay,YG268-SN,4.1,578,"Hampton Bay Ceiling Fan with Light - 52-inch ceiling fan with integrated LED light kit, reversible motor for year-round comfort, and five reversible blades. Includes remote control and easy installation hardware.",Lighting & Electrical,Ceiling Fans
HD005,Rust-Oleum Universal Metallic Spray Paint,"Oil-based spray paint with metallic finish, provides excellent coverage and durability. Suitable for metal, wood, concrete, and masonry surfaces. Fast-drying formula.",6.98,https://images.homedepot-static.com/productImages/paint-rustoleum-005.jpg,Paint & Primer > Spray Paint,Rust-Oleum,271473,4.3,234,"Rust-Oleum Universal Metallic Spray Paint - Oil-based spray paint with metallic finish, provides excellent coverage and durability. Suitable for metal, wood, concrete, and masonry surfaces. Fast-drying formula.",Paint & Primer,Spray Paint
HD006,Ryobi ONE+ 18V Hedge Trimmer,"Cordless hedge trimmer with 18-inch dual-action blade, suitable for trimming hedges up to 5/8 inch thick. Lightweight design with wrap-around handle for comfort.",79.99,https://images.homedepot-static.com/productImages/trimmer-ryobi-006.jpg,Outdoors > Lawn & Garden > Hedge Trimmers,Ryobi,P2607A,4.4,445,"Ryobi ONE+ 18V Hedge Trimmer - Cordless hedge trimmer with 18-inch dual-action blade, suitable for trimming hedges up to 5/8 inch thick. Lightweight design with wrap-around handle for comfort.",Outdoors,Lawn & Garden
HD007,Husky 200-Piece Mechanics Tool Set,"Comprehensive mechanics tool set with ratchets, sockets, wrenches, and specialty tools. Chrome vanadium steel construction with lifetime warranty. Includes blow-molded case.",99.99,https://images.homedepot-static.com/productImages/toolset-husky-007.jpg,Tools & Hardware > Hand Tools > Tool Sets,Husky,H200MTS,4.6,1893,"Husky 200-Piece Mechanics Tool Set - Comprehensive mechanics tool set with ratchets, sockets, wrenches, and specialty tools. Chrome vanadium steel construction with lifetime warranty. Includes blow-molded case.",Tools & Hardware,Hand Tools
HD008,GE Profile Smart Double Wall Oven,"WiFi-enabled double wall oven with convection cooking, precise temperature control, and smartphone app connectivity. Self-cleaning cycle and sabbath mode included.",2599.99,https://images.homedepot-static.com/productImages/oven-ge-008.jpg,Appliances > Ranges & Ovens > Wall Ovens,GE,PT7550EHES,4.3,167,"GE Profile Smart Double Wall Oven - WiFi-enabled double wall oven with convection cooking, precise temperature control, and smartphone app connectivity. Self-cleaning cycle and sabbath mode included.",Appliances,Ranges & Ovens
